haiku,summary
"my mum is paying
 for my driving lessons thanks
trace ur the best x","A person is expressing gratitude to their mom for paying for driving lessons.
"
"I hope the jaguars
 beat the patriots i want
them go all the way","A fan expresses their hope for the Jaguars to win against the Patriots and go all the way.
"
"Can you confirm the
 games cost to be free when it
arrives on mobile","Question about the cost of a mobile game.
"
"think you'd be better
 off in bed reliving the
past inside your head","Dwelling on the past instead of resting.
"
"No matter how much
 sleep I get I never wake
up feeling rested","A feeling of perpetual fatigue despite adequate sleep.
"
"Congrats to big George
 for making the National
League team of the week","A congratulatory haiku for George on making the National League team of the week.
"
"Once you've had something
 something so beautiful you'll
never be the same","Experiencing profound beauty changes you forever.
"
"Her nagging is a
 sign that she cares Silence means
she's plotting your death","A humorous take on a relationship, contrasting nagging with silence and implying affection through annoyance.
"
"I didn't watch the
 Superbowl I fall a sleep
before it started","The author missed the Superbowl because they fell asleep early.
"
"If you're not into
 fine wine and art there's no need
in talking to me","A person's snobbery about fine wine and art.
"
"I get ignored so
 often I don't know why I
try to begin with","Feeling ignored and questioning the point of trying.
"
"Defensive pressure
 by the whole team leads to a
held ball great work girls","Teamwork in basketball leads to a held ball.
"
"You're looking forward
 to a fucking FUNERAL
You are disgusting","Someone is eager for a funeral, which is seen as disgusting.
"
"thank you for always
 understanding what I want
to love my brother","Gratitude for understanding and support in loving a sibling.
"
"Good morning my dear
 friend Rose God bless you and have
a beautiful day","A friendly morning greeting and blessing to Rose.
"
"fingers crossed i can
 cop arctic monkeys tickets
tomorrow morning","Hoping to get Arctic Monkeys tickets tomorrow.
"
"I met Jesus and
 told him all my sins I bet
that was a long talk","Confessing sins to Jesus takes a long time.
"
"These Austin bombings
 are making me wonder where
Bill Ayers is at","A reflection on the Austin bombings and a speculative connection to Bill Ayers.
"
"I'm not impressed by
 prom this year at all nothing
is catching my eyes","Disappointment with this year's prom.
"
"Getting a migraine
 trying to get sleep but the
atrium is loud","A migraine and noise disrupt sleep.
"
"MOST INTELLECTS DO
 NOT BELIEVE IN GOD BUT THEY
FEAR US JUST THE SAME","Intellectuals may not believe in God, but they still fear ""us"" (speaker not defined).
"
"This film is awesome
 and allows me to step back
into my childhood","A film evokes nostalgia and childhood memories.
"
"It is NOT Christmas
 Christmas time I repeat IT
IS NOT CHRISTMAS TIME","It is not Christmas.
"
"in other news my
 pinned is new and she's flopping
so please support her","A new, unpopular tweet (pinned) is being promoted, asking for support.
"
"no matter how my
 life has changed i keep looking
back on better days","Nostalgia for a happier past despite life's changes.
"
"looking for new and
 interesting game play Send
me a steam key please","Request for a Steam key for a game.
"
"The whole system is
 corrupt including those who
where counting the votes","The entire system, including vote counters, is corrupt.
"
"I'll be your morning
 star and you are my angel
you are my angel","A declaration of love and devotion, comparing the speaker to a morning star and the beloved to an angel.
"
"Quarterbacks should just
 start taking the hit on third
down to move the chains","QBs should strategically take hits on third down for first downs.
"
"Going too far left
 on gun control You often
undermine yourself","Excessive gun control advocacy can be self-defeating.
"
"Never let yourself
 become an option know your
worth y'all Kings and queens","Know your value and don't settle for being an option.
"
"So wish i didn't
 have to go to work because
I'd still be sleeping","Wishes for sleep instead of work.
"
"This week my focus
 will be more action and less
procrastination","Focusing on action over procrastination.
"
"my main focus is
 to remain focus at all
times no distractions","Staying focused and avoiding distractions.
"
"i always feel like
 i have so much to do and
no time to do it","Overwhelmed by tasks, lacking time.
"
"I'll never forget
 my freshman year of college
good and bad reasons","A nostalgic reflection on the unforgettable experiences, both positive and negative, of one's first year in college.
"
"Forgot to put eye
 drops in for my contacts and
now I regret it","Eye discomfort from forgetting eye drops.
"
"I'm not the perfect
 Christian I sin everyday
but I love Jesus","A flawed Christian expresses love for Jesus.
"
"Tornados change their
 course when they see Chuck Norris
standing in the way","Chuck Norris is so tough, tornadoes avoid him.
"
"men as a social
 class don't exist and that's what
praxis is send tweet","Praxis eliminates men as a social class.
"
"how do i manage
 to get sick right when summer
conditioning starts","Getting sick at the start of summer training is frustrating.
"
"my living room is
 silent but for the sound of
crunching doritos","Quiet room, noisy snack.
"
"Allah hears you heart
 intention before your lips
whisper your request","Allah knows your intentions and hears your silent prayers.
"
"This is failure and
 fake love God shall supply all
my needs God is love","Faith in God as a remedy for failure and inauthentic love.
"
"Getting my elbow
 ditch tattooed tomorrow oh
sweet death come for me","Anticipation of a painful tattoo and a flippant call for death.
"
"update still in IL
 oh and the highway just closed
cause of a snow storm","Stuck in Illinois due to a snowstorm closing the highway.
"
"My sister comes in
 my room wit a L in her
head i love her life","A sister's playful presence and the speaker's love for her.
"
"I regret beating
 the shit out of my brother
He don't deserve that","Regret over sibling abuse.
"
"Always nice when your
 husband invites his friend to
the fair and not you","A wife feels excluded when her husband invites his friend to the fair without her.
"
"i just called stephen
 n it went straight to voicemail
like is this for real","A phone call went straight to voicemail, causing disbelief.
"
"Where are females who
 compliment their dude when they
get a new haircut","A lament for the lack of female compliments on a man's new haircut.
"
"Madhouse Pancakes need
 to win this Thank goodness it
has the most votes D","Madhouse Pancakes is winning a vote.
"
"I wish I didn't
 care so much I wish I could
let go like you did","Regret over caring too much and wishing for the ability to let go.
"
"just be honest in
 a relationship and we
won't have a problem","Honesty prevents relationship issues.
"
"There was a moment
 there when I thought the plane had
moved Wishful thinking","Hoping a plane has moved, but it hasn't.
"
"The Bucks are getting
 cold in the most meaningful
stretch of the season","The Milwaukee Bucks are struggling at a crucial point in the season.
"
"Here's to strong women
 May we know them May we be
them May we raise them","Celebrating, aspiring to be, and nurturing strong women.
"
